Plant name - Argentina,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
James A. FitzPatrick,1,BWR,BWR-4 (WET),Operational,813,1 Sep 1968,28 Jul 1975,
Joseph M. Farley,1,PWR,WH 3-Loop (DRY),Operational,874,1 Oct 1970,1 Dec 1977,
Joseph M. Farley,2,PWR,WH 3-Loop (DRY),Operational,883,1 Oct 1970,30 Jul 1981,
Kemmerer,1,SFR,Natrium,Planned,345,,,
Kewaunee,1,PWR,WH 2-loop (DRY),Shut down,566,6 Aug 1968,16 Jun 1974,7 May 2013
La Crosse,1,BWR,BWR-1,Dismantled,48,1 Mar 1963,7 Nov 1969,30 Apr 1987
LaSalle County,1,BWR,BWR-5 (WET),Operational,1137,10 Sep 1973,1 Jan 1984,
LaSalle County,2,BWR,BWR-5 (WET),Operational,1140,10 Sep 1973,19 Oct 1984,
Limerick,1,BWR,BWR-5 (WET),Operational,1134,19 Jun 1974,1 Feb 1986,
Limerick,2,BWR,BWR-5 (WET),Operational,1134,19 Jun 1974,8 Jan 1990,
Maine Yankee,1,PWR,WH (DRY),Dismantled,860,1 Oct 1968,28 Dec 1972,1 Aug 1997
Marble Hill,1,PWR,WH (DRY),Unfinished,1130,1 Aug 1977,,10 Jan 1984
McGuire,1,PWR,WH 4-Loop (ICECOND),Operational,1158,1 Apr 1971,1 Dec 1981,
McGuire,2,PWR,WH 4-Loop (ICECOND),Operational,1158,1 Apr 1971,1 Mar 1984,
Millstone,1,BWR,BWR-3 (WET),Shut down,641,1 May 1966,28 Dec 1970,21 Jul 1998
Millstone,2,PWR,CE 2-loop (DRY),Operational,869,1 Nov 1969,26 Dec 1975,
Millstone,3,PWR,WH 4-Loop (DRY),Operational,1210,9 Aug 1974,23 Apr 1986,
Monticello,1,BWR,BWR-3 (WET),Operational,628,19 Jun 1967,30 Jun 1971,
Nine Mile Point,1,BWR,BWR-2 (WET),Operational,613,12 Apr 1965,1 Dec 1969,
Nine Mile Point,2,BWR,BWR-5 (WET),Operational,1277,1 Aug 1975,11 Mar 1988,
North Anna,1,PWR,WH 3-Loop (DRY),Operational,948,19 Feb 1971,6 Jun 1978,
North Anna,2,PWR,WH 3-Loop (DRY),Operational,944,19 Feb 1971,14 Dec 1980,
Oconee,1,PWR,B & W (DRY),Operational,847,6 Nov 1967,15 Jul 1973,
Oconee,2,PWR,B & W (DRY),Operational,848,6 Nov 1967,9 Sep 1974,
Oconee,3,PWR,B & W (DRY),Operational,859,6 Nov 1967,16 Dec 1974,
Oyster Creek,1,BWR,BWR-2 (WET),Shut down,619,15 Dec 1964,23 Dec 1969,17 Sep 2018
Palisades,1,PWR,CE 2-loop (DRY),Shut down,805,14 Mar 1967,31 Dec 1971,20 May 2022
Palo Verde,1,PWR,CE80 2-loop (DRY),Operational,1311,25 May 1976,28 Jan 1986,
Palo Verde,2,PWR,CE80 2-loop (DRY),Operational,1314,1 Jun 1976,19 Sep 1986,
Palo Verde,3,PWR,CE80 2-loop (DRY),Operational,1312,1 Jun 1976,8 Jan 1988,
Parr,1,PHWR,CVTR,Dismantled,17,1 Jan 1960,18 Dec 1963,10 Jan 1967
Pathfinder,1,BWR,BWR-1,Dismantled,59,1 Jan 1959,1 Aug 1966,1 Oct 1967
Peach Bottom,1,GCR,Prototype,Shut down,40,1 Feb 1962,1 Jun 1966,1 Nov 1974
Peach Bottom,2,BWR,BWR-4 (WET),Operational,1300,31 Jan 1968,5 Jul 1974,
Peach Bottom,3,BWR,BWR-4 (WET),Operational,1331,31 Jan 1968,23 Dec 1974,
Perry,1,BWR,BWR-6 (WET),Operational,1240,1 Oct 1974,18 Nov 1987,
Pilgrim,1,BWR,BWR-3 (WET),Shut down,677,26 Aug 1968,9 Dec 1972,31 May 2019
Piqua,1,OCR,Atomics International,Decommissioned,12,1 Jan 1960,1 Nov 1963,1 Jan 1966
Point Beach,1,PWR,WH 2-loop (DRY),Operational,591,19 Jul 1967,21 Dec 1970,
Point Beach,2,PWR,WH 2-loop (DRY),Operational,591,25 Jul 1968,1 Oct 1972,
Prairie Island,1,PWR,WH 2-loop (DRY),Operational,522,25 Jun 1968,16 Dec 1973,
Prairie Island,2,PWR,WH 2-loop (DRY),Operational,519,25 Jun 1969,21 Dec 1974,
Quad Cities,1,BWR,BWR-4 (WET),Operational,908,15 Feb 1967,18 Feb 1973,
Quad Cities,2,BWR,BWR-4 (WET),Operational,911,15 Feb 1967,10 Mar 1973,
Rancho Seco,1,PWR,WH (DRY),Decommissioned,873,1 Apr 1969,17 Apr 1975,23 Jun 1989
River Bend,1,BWR,BWR-6 (WET),Operational,967,25 Mar 1977,16 Jun 1986,
Salem,1,PWR,WH 4-loop (DRY),Operational,1169,25 Sep 1968,30 Jun 1977,
Salem,2,PWR,WH 4-loop (DRY),Operational,1158,25 Sep 1968,31 Oct 1981,
San Onofre,1,PWR,WH (DRY),Dismantled,436,16 Jul 1964,1 Jan 1968,30 Nov 1992
San Onofre,2,PWR,CE (DRY),Shut down/in decommissioning,1070,1 Mar 1974,8 Aug 1983,7 Jun 2013
San Onofre,3,PWR,CE (DRY),Shut down/in decommissioning,1180,1 Mar 1974,1 Apr 1984,7 Jun 2013
Saxton,1,PWR,,Decommissioned,3,1 Jan 1960,Nov 1961,May 1972
Seabrook,1,PWR,WH 4-Loop (DRY),Operational,1246,7 Jul 1976,15 Mar 1990,
Seadrift,1,HTGR,Xe-100,Planned,80,,,
Seadrift,2,HTGR,Xe-100,Planned,80,,,
Seadrift,3,HTGR,Xe-100,Planned,80,,,
Seadrift,4,HTGR,Xe-100,Planned,80,,,
Sequoyah,1,PWR,WH 4-Loop (ICECOND),Operational,1152,27 May 1970,1 Jul 1981,
Sequoyah,2,PWR,WH 4-Loop (ICECOND),Operational,1139,27 May 1970,1 Jun 1982,
Shearon Harris,1,PWR,WH 3-Loop (DRY),Operational,964,28 Jan 1978,2 May 1987,
Shippingport,1,PWR,WH,Dismantled,60,6 Sep 1954,26 May 1958,Dec 1989
Shoreham,1,BWR,GE,Shut down,820,1 Nov 1972,1 Aug 1986,1 May 1989
SRE,1,FBR,,Decommissioned,6.5,1954,12 Jul 1957,15 Feb 1964
South Texas,1,PWR,WH 4-loop (DRY),Operational,1280,22 Dec 1975,25 Aug 1988,
South Texas,2,PWR,WH 4-loop (DRY),Operational,1280,22 Dec 1975,19 Jun 1989,
St. Lucie,1,PWR,CE (DRY),Operational,981,1 Jul 1970,1 Mar 1976,
St. Lucie,2,PWR,CE (DRY),Operational,987,2 Jun 1977,10 Jun 1983,
Surry,1,PWR,WH 3-loop (DRY),Operational,838,25 Jun 1968,22 Dec 1972,
Surry,2,PWR,WH 3-loop (DRY),Operational,838,25 Jun 1968,1 May 1973,
Susquehanna,1,BWR,BWR-5 (WET),Operational,1257,2 Nov 1973,12 Nov 1982,
Susquehanna,2,BWR,BWR-5 (WET),Operational,1257,2 Nov 1973,27 Jun 1984,
Three Mile Island,1,PWR,B & W (DRY),Shut down,819,18 May 1968,2 Sep 1974,20 Sep 2019
Three Mile Island,2,PWR,B & W (DRY),Core melt,880,1 Nov 1969,30 Dec 1978,28 Mar 1979
Trojan,1,PWR,WH (DRY),Dismantled,1095,1 Feb 1970,20 May 1976,9 Nov 1992
Turkey Point,3,PWR,WH 3-Loop (DRY),Operational,829,27 Apr 1967,14 Dec 1972,
Turkey Point,4,PWR,WH 3-Loop (DRY),Operational,821,27 Apr 1967,7 Sep 1973,
Turkey Point,6,PWR,AP1000,Planned,1117,,,
Turkey Point,7,PWR,AP1000,Planned,1117,,,
Vallecitos,1,BWR,BWR-1,Shut down,25,1 Jan 1956,19 Oct 1957,9 Dec 1963
Vermont Yankee,1,BWR,BWR-4 (WET),Shut down,605[152],11 Dec 1967,30 Nov 1972,29 Dec 2014[153]
Virgil C. Summer,1,PWR,WH 3-Loop (DRY),Operational,973,21 Mar 1973,1 Jan 1984,
Virgil C. Summer,2,PWR,AP1000,Unfinished,1117,9 Mar 2013,,
Virgil C. Summer,3,PWR,AP1000,Unfinished,1117,2 Nov 2013,,
Vogtle,1,PWR,WH 4-Loop (DRY),Operational,1150,1 Aug 1976,1 Jun 1987,
Vogtle,2,PWR,WH 4-Loop (DRY),Operational,1152,1 Aug 1976,20 May 1989,
Vogtle,3,PWR,AP1000,Operational,1117,12 Mar 2013,31 Jul 2023[154],
Vogtle,4,PWR,AP1000,Operational,1117,19 Nov 2013,29 April 2024[155],
Waterford,1,PWR,CE 2-loop (DRY),Operational,1168,14 Nov 1974,24 Sep 1985,
Watts Bar,1,PWR,WH 4-Loop (ICECOND),Operational,1157,20 Jul 1973,27 May 1996,
Watts Bar,2,PWR,WH 4-Loop (ICECOND),Operational,1164,1 Sep 1973,4 Jun 2016,
Wolf Creek,1,PWR,WH 4-Loop (DRY),Operational,1200,31 May 1977,3 Sep 1985,
Yankee Rowe,1,PWR,WH (DRY),Dismantled,167,1 Nov 1957,1 Jul 1961,1 Oct 1991
Zion,1,PWR,WH (DRY),Dismantled,1040,1 Dec 1968,31 Dec 1973,13 Feb 1998
Zion,2,PWR,WH (DRY),Dismantled,1040,1 Dec 1968,17 Sep 1974,13 Feb 1998
Plant name - Uzbekistan,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Plant in the Jizzakh Region,1,PWR,VVER-1200,Planned,1200,,,
Plant in the Jizzakh Region,2,PWR,VVER-1200,Planned,1200,,,
